ID	Fascination	Being_away_to	Being_away_from	Compatibility	Extent_Coherence	Extent_Scope	Positive	Negative	Valence	Arousal	Dominance
61	5	5.333333333	6	4	5	5	10	10	7	1	9
62	4	3.666666667	4.666666667	4.25	5.333333333	3	16	10	5	4	3
69	2.2	1.666666667	2	1.5	2	2	15	10	4	5	5
70	2.6	4	3.666666667	3.5	5	5	11	10	5	1	5
2	4	4	3.333333333	3.75	4	2	14	10	7	2	7
5	5	5	6.333333333	4.5	6	4	27	10	8	2	7
7	4.8	3.666666667	5.333333333	4.75	4.666666667	5	32	11	8	2	8
8	1.8	2.666666667	4	2.5	3	5	13	10	6	1	6
11	4.6	4.666666667	6.333333333	4.25	5	1	12	10	7	2	7
13	1	1	1	1	1.666666667	1	14	12	5	1	1
16	6.6	5	6.666666667	5.5	4.666666667	7	21	10	8	4	3
17	7	6	5.333333333	5.5	7	7	29	10	9	1	7
19	6.6	5	7	5.5	7	7	19	10	9	1	1
20	6.4	3	4.333333333	4.5	6.666666667	1	20	12	7	3	3
22	5.2	4.333333333	6	5.25	5	6	23	12	9	4	1
23	5.4	5	6.333333333	4.25	6.333333333	6	21	10	7	2	2
25	3.6	4.666666667	6	2.75	6	3	17	10	8	2	6
26	4.4	4	5.333333333	4.75	4.333333333	5	28	34	3	7	8
28	1.6	1	1	3.25	1.666666667	1	14	17	3	5	5
31	4.4	4.666666667	6	3.5	5.666666667	1	17	10	7	3	7
34	6.2	5.333333333	7	5	6.333333333	7	21	10	8	1	5
35	5	3.666666667	7	4.5	5	7	28	11	8	1	1
37	2.8	3.333333333	5	3.25	4.666666667	3	16	11	5	3	2
38	5.4	5	6.333333333	5.5	6	7	16	10	7	2	8
40	4	3.666666667	4	3.5	3.666666667	2	19	10	7	3	3
43	3.2	3.333333333	4.666666667	4	4.333333333	6	21	10	7	3	6
44	1.2	4.333333333	3.666666667	2.25	6.666666667	7	11	10	6	3	1
46	2	1.666666667	3.333333333	2.5	3.666666667	4	12	10	5	2	5
47	3	4	4.333333333	4	4	4	11	10	8	2	2
49	5.6	5	7	5.5	5.666666667	6	23	10	9	1	7
50	5.6	4.333333333	5.666666667	4.75	6	5	15	10	7	2	3
52	4.8	4.333333333	6	4.75	5.333333333	6	17	10	7	1	7
53	5.4	4.333333333	5	4.75	5.333333333	5	13	10	7	3	3
55	5	4	4	4.25	4.666666667	5	21	10	6	2	2
56	1.4	4	4.333333333	3.25	5.333333333	7	16	11	5	1	9
59	4.4	3.666666667	3.666666667	4	5	6	16	10	6	1	1
60	6.8	5	6.666666667	5.25	6.333333333	6	16	10	8	1	8
61	5.8	4.666666667	7	5.75	6.333333333	4	17	11	9	1	9
62	4	3.666666667	5	3.5	4.333333333	3	17	10	6	5	2
65	4.4	5	6.666666667	5.25	6	4	16	10	7	2	1
66	4.4	4	5.666666667	4.75	4	6	19	10	6	4	4
67	3.2	4.333333333	6.333333333	4.5	5	5	13	15	3	3	1
69	3.4	2.666666667	3	2.25	3.333333333	3	16	10	6	6	2
70	5.4	4.666666667	6	3.5	6	5	13	10	7	1	8
3	4.6	5.666666667	6.333333333	5.25	5	7	24	10	5	5	1
6	3.6	3	3.666666667	5.75	5.666666667	5	13	10	5	1	7
7	5.4	3	4.333333333	4.75	4.333333333	6	26	11	6	3	6
9	4.4	4.333333333	6.666666667	5.25	5	7	29	11	9	2	3
12	3.8	2.666666667	4	3.25	6	5	25	12	7	3	7
13	1.8	5	4.666666667	2.25	6.666666667	7	15	11	5	3	7
15	5.8	4.666666667	6	5	6	3	19	10	9	1	1
16	7	4.666666667	7	5.5	4.333333333	6	22	10	8	2	3
18	3.6	4.666666667	5.333333333	4.75	5.333333333	2	11	10	7	3	3
19	7	5	6.666666667	5.5	7	7	22	11	9	3	2
21	2.6	3	3	2	2	2	10	10	3	3	3
22	4.2	4.333333333	5.666666667	4.25	4.666666667	6	25	10	9	3	1
24	5	5	5.666666667	4.25	6.333333333	6	14	10	7	6	7
25	2	4.666666667	4	2.75	4.666666667	5	15	18	4	6	3
27	2.4	4.666666667	5.666666667	3.75	3.666666667	2	18	10	6	2	3
28	3.4	4	4	3	5.333333333	2	10	10	5	5	6
31	4.4	4.666666667	5.666666667	3.25	5.666666667	1	11	10	6	4	6
33	6.6	3.333333333	6.333333333	5.5	6.666666667	7	16	10	7	5	2
34	5	3.333333333	6.333333333	5.25	5.333333333	5	20	12	7	3	5
36	5.8	4.666666667	5.666666667	5.5	5.333333333	5	23	10	8	7	6
37	4	4.333333333	5	4.25	5.333333333	2	24	10	7	5	2
40	2.6	2.666666667	3	2	4	4	21	11	4	5	4
42	1.6	1.666666667	1.666666667	1.5	3	7	16	16	9	1	1
43	4.6	4	5.333333333	4.75	4.333333333	6	21	10	7	3	3
46	4	3	4.666666667	4	6	3	10	10	7	1	1
49	5.2	4.666666667	5.666666667	4.75	5.333333333	3	20	10	7	3	4
51	5.8	5	6	4.25	6.333333333	6	14	10	8	8	3
52	4.6	4.666666667	6	4.5	5.333333333	6	16	10	5	5	6
54	4.2	4.666666667	4.333333333	3.5	5.666666667	3	17	10	7	1	8
55	4.6	4	3.333333333	3.25	4	5	15	10	7	2	1
57	3	2	3	3.25	3	1	14	10	5	1	6
58	4.8	3.333333333	5	4.25	4.333333333	1	14	10	7	3	3
60	6.8	4.333333333	6.666666667	5.25	6.666666667	6	17	10	7	1	8
63	5	2.333333333	6.333333333	4.75	5.666666667	6	24	11	7	5	5
64	5.2	3.666666667	4.666666667	5	6.333333333	2	16	10	7	2	8
65	4.2	4.666666667	6.333333333	3.25	6.666666667	1	19	10	5	3	3
67	4.6	4.333333333	6	4.75	5.666666667	7	16	10	6	2	2
68	3.8	3.666666667	3.666666667	2.25	3.333333333	2	22	15	7	4	7
69	3.2	2.666666667	4	2.5	3.333333333	4	14	10	6	5	6
70	4.2	4.333333333	5.333333333	3.25	5.333333333	5	14	10	6	3	2
2	4.2	3.666666667	3.666666667	4	4.666666667	2	14	10	9	1	7
3	6	3.333333333	4.666666667	2.5	5.333333333	6	14	10	3	1	1
5	5.2	4.666666667	6.333333333	3.75	5.333333333	2	16	10	7	4	7
6	4.6	4	6	3.25	6	4	10	10	7	1	8
9	2	3.333333333	2.333333333	2.5	4.666666667	3	22	13	5	5	9
11	6.4	2.666666667	5.333333333	5.25	5.333333333	1	24	10	9	2	8
12	1.8	3.333333333	2	2.25	4.333333333	4	18	13	5	3	4
14	6.2	4.333333333	6.333333333	5	5.666666667	6	27	10	9	2	7
15	4.8	4	6	5.5	5.333333333	5	20	10	7	1	1
17	5.4	4.666666667	6	4.75	6.333333333	7	34	10	9	1	9
18	4.4	3.333333333	5.333333333	5.25	5.333333333	1	12	10	8	2	2
20	3.2	2.666666667	3.666666667	3.25	2.333333333	1	10	14	7	1	1
21	2	2	2	1.5	1.333333333	2	11	10	3	3	3
23	5	4.666666667	6.333333333	4.5	5	2	22	10	7	1	3
24	2.2	3	5.333333333	3	5	6	13	12	5	5	5
26	4	4.666666667	5	4	5.333333333	5	27	34	5	6	6
27	2.6	3.666666667	5.666666667	3	3	1	16	10	6	3	3
32	3.6	2.666666667	3	3.5	5.333333333	4	15	10	5	2	3
33	6.8	4.666666667	7	5.5	6.666666667	5	18	10	7	3	1
35	4.8	4.666666667	6	2.75	4.666666667	6	18	10	7	5	2
36	4.8	3.666666667	5	4.75	4.666666667	3	16	11	6	5	4
38	2.4	3	6.333333333	1.5	2.333333333	2	11	10	6	4	3
41	3.6	4	5	4.75	6.333333333	6	12	11	7	2	3
42	2.2	4	1.333333333	3	4	6	25	14	7	1	9
44	1	4.666666667	5	2.25	5.333333333	7	10	10	5	2	1
45	1.4	1.333333333	1.333333333	3	3.333333333	2	12	17	2	2	3
47	5	3.333333333	4	4	4.333333333	5	11	10	7	2	2
50	4.4	4	5.333333333	2.5	5	3	11	10	6	3	3
51	5.8	4.333333333	7	4	6.333333333	3	14	10	8	1	2
53	4.6	4.333333333	4.333333333	4	5	2	10	10	5	3	1
54	5.8	4.666666667	6	4	5	6	24	10	8	1	9
56	1	5	3	1.75	6	5	11	10	3	1	1
57	3.6	4	4	4	3	1	14	10	5	1	5
58	3.8	3.333333333	5	4.25	6	2	11	10	7	2	2
59	3.8	2.666666667	4.333333333	3.5	4.333333333	5	13	10	6	1	1
61	5.8	6.333333333	6.666666667	4.75	6	6	12	10	7	1	9
62	4.2	4	5	2.75	4	4	16	11	5	5	2
63	4.8	2.666666667	5.666666667	4.25	6	3	13	9	8	3	5
64	5.4	3.666666667	5.333333333	4.5	7	2	14	10	6	2	9
68	3	4	4	2	3.666666667	2	23	15	6	3	5
